Season,MatchId,RoundNumber,RoundName,utc,Home,Away,PlayerId,Player,Team,Period,Kicks,Handballs,Disposals
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296334,Orazio Fantasia,Port Adelaide,3,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I296334,Orazio Fantasia,Port Adelaide,4,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I997142,Peter Ladhams,Port Adelaide,1,3,3,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I997142,Peter Ladhams,Port Adelaide,2,2,0,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I997142,Peter Ladhams,Port Adelaide,3,2,1,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I997142,Peter Ladhams,Port Adelaide,4,0,3,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994599,Riley Bonner,Port Adelaide,1,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994599,Riley Bonner,Port Adelaide,2,4,2,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994599,Riley Bonner,Port Adelaide,3,6,0,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I994599,Riley Bonner,Port Adelaide,4,3,1,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261396,Robbie Gray,Port Adelaide,1,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261396,Robbie Gray,Port Adelaide,2,0,2,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261396,Robbie Gray,Port Adelaide,3,2,4,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I261396,Robbie Gray,Port Adelaide,4,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I992128,Ryan Burton,Port Adelaide,1,5,0,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I992128,Ryan Burton,Port Adelaide,2,5,1,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I992128,Ryan Burton,Port Adelaide,3,3,1,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I992128,Ryan Burton,Port Adelaide,4,6,0,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I993979,Sam Powell-Pepper,Port Adelaide,4,4,2,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290746,Scott Lycett,Port Adelaide,2,1,3,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290746,Scott Lycett,Port Adelaide,3,1,0,1
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I290746,Scott Lycett,Port Adelaide,4,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280990,Steven Motlop,Port Adelaide,1,3,3,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280990,Steven Motlop,Port Adelaide,2,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280990,Steven Motlop,Port Adelaide,3,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I280990,Steven Motlop,Port Adelaide,4,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004998,Todd Marshall,Port Adelaide,1,2,2,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004998,Todd Marshall,Port Adelaide,2,1,1,2
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I1004998,Todd Marshall,Port Adelaide,3,1,2,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I292145,Tom Jonas,Port Adelaide,1,4,0,4
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I292145,Tom Jonas,Port Adelaide,2,3,0,3
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I292145,Tom Jonas,Port Adelaide,3,4,2,6
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I292145,Tom Jonas,Port Adelaide,4,3,2,5
2021,CD_M20210142401,24,Finals Week 1,2021-08-27T09:50:00.000+0000,Port Adelaide,Geelong Cats,CD_I250365,Travis Boak,Port Adelaide,1,2,5,7
