MatchId,Player,Team,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,TotalClearances,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20160102,Caleb Marchbank,Greater Western Sydney,11.4,5.18,0,93,66,79,8,7,15,66.7,207,2,2,4,8.0,7,3.0,5,4,2.0,1,2,0.0,0,0.0,1,0,1,0,5,3.0,2016,1
20160102,Bernie Vince,Melbourne,10.9,10.85,0,101,85,85,17,4,21,81.0,315,1,8,3,12.0,8,1.0,6,3,2.0,2,3,0.0,0,0.0,1,1,0,0,3,1.0,2016,1
20160102,Aaron vandenBerg,Melbourne,10.9,9.06,0,65,67,85,8,9,17,52.9,375,6,6,1,8.0,7,4.0,1,3,1.0,2,1,1.0,0,0.0,3,2,0,0,4,0.0,2016,1
20160102,Neville Jetta,Melbourne,10.7,8.49,0,72,70,94,7,8,15,93.3,178,0,1,5,13.0,4,2.0,2,4,0.0,0,0,0.0,0,0.0,0,0,0,0,4,0.0,2016,1
20160102,Dean Kent,Melbourne,10.5,7.6,0,73,68,87,11,2,13,92.3,397,4,2,3,13.0,2,1.0,1,5,1.0,0,0,0.0,0,0.0,2,1,0,0,5,1.0,2016,1
20160102,Dylan Shiel,Greater Western Sydney,10.3,14.27,0,102,88,76,13,16,29,69.0,451,4,4,2,23.0,10,9.0,3,4,0.0,0,5,0.0,0,0.0,0,0,0,0,3,0.0,2016,1
20160102,Aidan Corr,Greater Western Sydney,9.8,7.65,0,58,37,82,4,4,8,87.5,119,3,0,2,6.0,5,2.0,5,4,3.0,2,1,0.0,0,0.0,0,0,0,0,3,3.0,2016,1
20160102,Max Gawn,Melbourne,9.5,11.69,0,95,78,88,6,8,14,92.9,209,3,1,2,8.0,6,1.0,3,4,2.0,2,0,55.0,26,10.0,1,0,1,0,7,3.0,2016,1
20160102,Jeff Garlett,Melbourne,9.4,9.39,0,71,68,83,9,3,12,83.3,285,3,2,5,16.0,1,1.0,0,3,0.0,0,0,0.0,0,0.0,3,2,0,0,6,0.0,2016,1
20160102,Christian Salem,Melbourne,9.3,7.14,0,66,67,88,13,2,15,73.3,441,2,3,2,8.0,6,4.0,4,5,2.0,1,1,0.0,0,0.0,0,0,0,0,2,1.0,2016,1
20160102,Steve Johnson,Greater Western Sydney,9.1,10.87,0,96,93,85,11,12,23,60.9,391,2,7,3,11.0,8,6.0,1,4,1.0,0,3,0.0,0,0.0,5,2,2,0,8,1.0,2016,1
20160102,Rory Lobb,Greater Western Sydney,9.1,7.41,0,100,77,87,8,7,15,73.3,220,0,1,2,11.0,9,4.0,2,7,0.0,4,0,5.0,0,0.0,5,2,3,2,10,0.0,2016,1
20160102,Shane Mumford,Greater Western Sydney,8.1,12.1,0,65,52,88,1,10,11,90.9,2,0,1,3,9.0,5,3.0,3,3,2.0,1,2,58.0,25,12.0,0,0,0,0,5,3.0,2016,1
20160102,Jack Watts,Melbourne,7.7,8.02,4,89,88,85,14,4,18,77.8,340,3,4,1,6.0,6,4.0,2,10,1.0,2,0,0.0,0,0.0,2,1,1,2,6,0.0,2016,1
20160102,Heath Shaw,Greater Western Sydney,7.3,11.76,0,87,109,93,25,5,30,50.0,500,3,8,2,4.0,7,6.0,9,7,1.0,0,0,0.0,0,0.0,0,0,0,0,4,0.0,2016,1
20160102,Tom Scully,Greater Western Sydney,7.1,9.98,0,94,100,86,19,8,27,70.4,652,5,7,1,15.0,7,3.0,2,6,0.0,0,4,0.0,0,0.0,2,1,1,0,10,1.0,2016,1
20160102,Lachie Whitfield,Greater Western Sydney,7.1,8.12,0,73,82,80,12,10,22,68.2,344,4,2,3,9.0,8,6.0,4,5,0.0,0,2,0.0,0,0.0,2,0,1,0,8,1.0,2016,1
20160102,Nathan Wilson,Greater Western Sydney,6.9,8.72,0,85,88,85,19,3,22,86.4,682,4,6,1,12.0,3,1.0,4,6,2.0,0,0,0.0,0,0.0,0,0,0,0,3,0.0,2016,1
20160102,Jack Steele,Greater Western Sydney,6.9,7.49,0,47,47,70,6,5,11,63.6,194,3,1,2,7.0,2,0.0,0,3,0.0,0,1,0.0,0,0.0,1,1,0,1,6,1.0,2016,1
20160102,Matt Buntine,Greater Western Sydney,6.7,8.98,0,55,40,85,6,4,10,90.0,101,1,1,1,5.0,4,2.0,3,3,1.0,1,0,0.0,0,0.0,0,0,0,0,2,1.0,2016,1
20160102,Colin Garland,Melbourne,6.5,8.04,0,58,63,88,8,3,11,100.0,193,0,1,3,10.0,1,1.0,2,8,1.0,0,0,0.0,0,0.0,0,0,0,0,3,1.0,2016,1
