player,bookie,odds,scraped_at
Oliver Dempsey,Betfair,980.0,2026-07-28 12:52
Tom Atkins,Betfair,980.0,2026-07-28 12:52
Colby McKercher,Betfair,980.0,2026-07-28 12:52
Hayden Young,Betfair,980.0,2026-07-28 12:52
Patrick Dangerfield,Betfair,1.25,2026-07-28 12:52
Toby Greene,Betfair,1.25,2026-07-28 12:52
Jeremy Cameron,Betfair,980.0,2026-07-28 12:52
Jagga Smith,Betfair,382.0,2026-07-28 12:52
Marcus Windhager,Betfair,980.0,2026-07-28 12:52
Jack Ginnivan,Betfair,1.25,2026-07-28 12:52
Nick Blakey,Betfair,686.0,2026-07-28 12:52
Charlie Curnow,Betfair,1.25,2026-07-28 12:52
Callum Mills,Betfair,78.0,2026-07-28 12:52
Hugh McCluggage,Betfair,196.0,2026-07-28 12:52
George Hewett,Betfair,980.0,2026-07-28 12:52
Darcy Parish,Betfair,980.0,2026-07-28 12:52
Gryan Miers,Betfair,980.0,2026-07-28 12:52
Levi Ashcroft,Betfair,588.0,2026-07-28 12:52
Josh Dunkley,Betfair,980.0,2026-07-28 12:52
Rory Laird,Betfair,980.0,2026-07-28 12:52
Josh Daicos,Betfair,1.25,2026-07-28 12:52
Jaspa Fletcher,Betfair,980.0,2026-07-28 12:52
Joel Freijah,Betfair,980.0,2026-07-28 12:52
Cam Rayner,Betfair,980.0,2026-07-28 12:52
Jake Soligo,Betfair,980.0,2026-07-28 12:52
Ollie Wines,Betfair,980.0,2026-07-28 12:52
Adam Cerra,Betfair,980.0,2026-07-28 12:52
Jack Sinclair,Betfair,980.0,2026-07-28 12:52
Jordan Clark,Betfair,980.0,2026-07-28 12:52
James Worpel,Betfair,980.0,2026-07-28 12:52
Josh Ward,Betfair,980.0,2026-07-28 12:52
Tom Liberatore,Betfair,980.0,2026-07-28 12:52
Scott Pendlebury,Betfair,1.25,2026-07-28 12:52
Touk Miller,Betfair,980.0,2026-07-28 12:52
Tim English,Betfair,1.25,2026-07-28 12:52
Liam Baker,Betfair,1.25,2026-07-28 12:52
Will Day,Betfair,1.25,2026-07-28 12:52
Josh Weddle,Betfair,1.25,2026-07-28 12:52
Miles Bergman,Betfair,1.25,2026-07-28 12:52
Zak Butters,Betfair,25.0,2026-07-28 12:52
Sam Flanders,Betfair,39.0,2026-07-28 12:52
Errol Gulden,Betfair,245.0,2026-07-28 12:52
Harvey Langford,Betfair,490.0,2026-07-28 12:52
Connor Rozee,Betfair,980.0,2026-07-28 12:52
Jye Caldwell,Betfair,980.0,2026-07-28 12:52
Samuel Lalor,Betfair,980.0,2026-07-28 12:52
Sam Darcy,Betfair,980.0,2026-07-28 12:52
Tom Green,Betfair,980.0,2026-07-28 12:52
Daniel Curtin,Betfair,980.0,2026-07-28 12:52
Tom De Koning,Betfair,980.0,2026-07-28 12:52
Dan Houston,Betfair,980.0,2026-07-28 12:52
Dayne Zorko,Betfair,980.0,2026-07-28 12:52
Jacob Hopper,Betfair,980.0,2026-07-28 12:52
