player,best_odds,implied_prob,best_bookie,scraped_at
Jake Stringer,2001.0,0.05,bet365,2026-08-04 13:20
Touk Miller,2001.0,0.05,bet365,2026-08-04 13:20
Scott Pendlebury,2001.0,0.05,bet365,2026-08-04 13:20
Tom Liberatore,2001.0,0.05,bet365,2026-08-04 13:20
Jack Crisp,2001.0,0.05,bet365,2026-08-04 13:20
Lachlan Ash,2001.0,0.05,bet365,2026-08-04 13:20
Josh Ward,2001.0,0.05,bet365,2026-08-04 13:20
James Worpel,2001.0,0.05,bet365,2026-08-04 13:20
Jordan Clark,2001.0,0.05,bet365,2026-08-04 13:20
Daniel Rioli,2001.0,0.05,bet365,2026-08-04 13:20
Tom Stewart,2001.0,0.05,bet365,2026-08-04 13:20
Marc Pittonet,2001.0,0.05,bet365,2026-08-04 13:20
Darcy Cameron,2001.0,0.05,bet365,2026-08-04 13:20
Jack Sinclair,2001.0,0.05,bet365,2026-08-04 13:20
Sam Switkowski,2001.0,0.05,bet365,2026-08-04 13:20
Nick Daicos,1.14,87.72,Betway,2026-08-09 22:33
Marcus Bontempelli,26.0,3.85,Betfair,2026-08-09 22:33
Bailey Smith,29.0,3.45,Betfair,2026-08-09 22:33
Errol Gulden,54.0,1.85,Betfair,2026-08-09 22:33
Jai Newcombe,67.0,1.49,bet365,2026-08-09 22:33
Patrick Cripps,67.0,1.49,Skybet,2026-08-09 22:33
Isaac Heeney,81.0,1.23,Skybet,2026-08-09 22:33
Jordan Dawson,81.0,1.23,Skybet,2026-08-09 22:33
Lachie Neale,101.0,0.99,Skybet,2026-08-09 22:33
Luke Jackson,151.0,0.66,Skybet,2026-08-09 22:33
Harry Sheezel,151.0,0.66,Betway,2026-08-09 22:33
Will Ashcroft,151.0,0.66,BetMGM UK,2026-08-09 22:33
Kysaiah Pickett,151.0,0.66,Skybet,2026-08-09 22:33
Ed Richards,251.0,0.4,bet365,2026-08-09 22:33
Andrew Brayshaw,251.0,0.4,bet365,2026-08-09 22:33
Luke Davies-Uniacke,251.0,0.4,bet365,2026-08-09 22:33
Chad Warner,251.0,0.4,bet365,2026-08-09 22:33
Nic Martin,251.0,0.4,bet365,2026-08-09 22:33
Murphy Reid,251.0,0.4,Skybet,2026-08-09 22:33
Max Gawn,251.0,0.4,bet365,2026-08-09 22:33
Will Day,251.0,0.4,BetMGM UK,2026-08-09 22:33
Harvey Langford,490.0,0.2,Betfair,2026-08-09 22:33
Sam Walsh,501.0,0.2,bet365,2026-08-09 22:33
Nick Watson,501.0,0.2,bet365,2026-08-09 22:33
Christian Petracca,501.0,0.2,Skybet,2026-08-09 22:33
Liam Baker,501.0,0.2,BetMGM UK,2026-08-09 22:33
Sam Flanders,501.0,0.2,BetMGM UK,2026-08-09 22:33
Josh Weddle,501.0,0.2,BetMGM UK,2026-08-09 22:33
Clayton Oliver,501.0,0.2,bet365,2026-08-09 22:33
Josh Treacy,501.0,0.2,BetMGM UK,2026-08-09 22:33
Finn Callaghan,501.0,0.2,bet365,2026-08-09 22:33
Noah Anderson,501.0,0.2,bet365,2026-08-09 22:33
Izak Rankine,501.0,0.2,bet365,2026-08-09 22:33
Max Holmes,501.0,0.2,bet365,2026-08-09 22:33
Harley Reid,501.0,0.2,bet365,2026-08-09 22:33
Jack Steele,588.0,0.17,Betfair,2026-08-09 22:33
Brodie Grundy,588.0,0.17,Betfair,2026-08-09 22:33
Shai Bolton,647.0,0.15,Betfair,2026-08-09 22:33
Zak Butters,657.0,0.15,Betfair,2026-08-09 22:33
Connor Rozee,980.0,0.1,Betfair,2026-08-09 22:33
Jye Caldwell,980.0,0.1,Betfair,2026-08-09 22:33
Tom Green,980.0,0.1,Betfair,2026-08-09 22:33
Tom De Koning,980.0,0.1,Betfair,2026-08-09 22:33
Daniel Curtin,980.0,0.1,Betfair,2026-08-09 22:33
Dan Houston,980.0,0.1,Betfair,2026-08-09 22:33
Dayne Zorko,980.0,0.1,Betfair,2026-08-09 22:33
Sam Darcy,980.0,0.1,Betfair,2026-08-09 22:33
Samuel Lalor,980.0,0.1,Betfair,2026-08-09 22:33
Tim Taranto,980.0,0.1,Betfair,2026-08-09 22:33
Jacob Hopper,980.0,0.1,Betfair,2026-08-09 22:33
Zach Merrett,1001.0,0.1,bet365,2026-08-09 22:33
Matt Rowell,1001.0,0.1,bet365,2026-08-09 22:33
Caleb Serong,1001.0,0.1,bet365,2026-08-09 22:33
Toby Greene,1501.0,0.07,bet365,2026-08-09 22:33
Nick Blakey,1501.0,0.07,bet365,2026-08-09 22:33
Jordan De Goey,1501.0,0.07,bet365,2026-08-09 22:33
Colby McKercher,1501.0,0.07,bet365,2026-08-09 22:33
Sam Durham,1501.0,0.07,bet365,2026-08-09 22:33
Jack Ginnivan,1501.0,0.07,bet365,2026-08-09 22:33
Callum Mills,1501.0,0.07,bet365,2026-08-09 22:33
Tom Atkins,1501.0,0.07,bet365,2026-08-09 22:33
Charlie Curnow,1501.0,0.07,bet365,2026-08-09 22:33
Jagga Smith,1501.0,0.07,bet365,2026-08-09 22:33
Patrick Dangerfield,1501.0,0.07,bet365,2026-08-09 22:33
Hugh McCluggage,1501.0,0.07,bet365,2026-08-09 22:33
Darcy Parish,1501.0,0.07,bet365,2026-08-09 22:33
Jeremy Cameron,1501.0,0.07,bet365,2026-08-09 22:33
Hayden Young,1501.0,0.07,bet365,2026-08-09 22:33
Marcus Windhager,1501.0,0.07,bet365,2026-08-09 22:33
George Hewett,1501.0,0.07,bet365,2026-08-09 22:33
Oliver Dempsey,1501.0,0.07,bet365,2026-08-09 22:33
Rowan Marshall,1501.0,0.07,bet365,2026-08-09 22:33
Gryan Miers,1501.0,0.07,bet365,2026-08-09 22:33
Josh Dunkley,2001.0,0.05,bet365,2026-08-09 22:33
Rory Laird,2001.0,0.05,bet365,2026-08-09 22:33
Scott Pendlebury,2001.0,0.05,bet365,2026-08-09 22:33
Josh Daicos,2001.0,0.05,bet365,2026-08-09 22:33
Touk Miller,2001.0,0.05,bet365,2026-08-09 22:33
Levi Ashcroft,2001.0,0.05,bet365,2026-08-09 22:33
Joel Freijah,2001.0,0.05,bet365,2026-08-09 22:33
Josh Ward,2001.0,0.05,bet365,2026-08-09 22:33
James Worpel,2001.0,0.05,bet365,2026-08-09 22:33
Jordan Clark,2001.0,0.05,bet365,2026-08-09 22:33
Jack Sinclair,2001.0,0.05,bet365,2026-08-09 22:33
Ollie Wines,2001.0,0.05,bet365,2026-08-09 22:33
Adam Cerra,2001.0,0.05,bet365,2026-08-09 22:33
Jake Soligo,2001.0,0.05,bet365,2026-08-09 22:33
Cam Rayner,2001.0,0.05,bet365,2026-08-09 22:33
Jaspa Fletcher,2001.0,0.05,bet365,2026-08-09 22:33
Tom Liberatore,2001.0,0.05,bet365,2026-08-09 22:33
